transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee,init_time,mu,sigma,est_mu,est_sigma,est_shift
0x6a66a74c96ff1c9d1e46d5c817434daa5776d5ef6fe49d381d986444c838b849,109,19000039,21000,17871632755,17619529034,5294178141000,4.524611434097796,-1.870173890564745,0.7221301518848864,-1.8891296865443163,0.7412297392442843,4.528053643363107
0xa5a5aaa4c92acb3646e314ae11e0765ffff0305b6a963a8ee45b6038e9347778,39,19000039,41309,18894300127,17619529034,52659519080737,4.668987697066583,-1.870173890564745,0.7221301518848864,-1.882877406738394,0.7271947890244653,4.670705026454023
0x451cbe966a6c61204846b5ea2ac5b3c2fd758d15540a274bc2325b9592e7f90a,81,19000039,21000,19619529034,17619529034,42000000000000,4.671810505686015,-1.870173890564745,0.7221301518848864,-1.8895577819281635,0.7417973859123357,4.673786878208611
0x8cc03edc2f6dc2d6ca0fd0de78a82341e7b8f23eef853a0bffc7ac1a1d05470f,54,19000039,51438,17819529034,17619529034,10287600000000,4.696754035076897,-1.870173890564745,0.7221301518848864,-1.8725820008476526,0.7229679732645737,4.69682482497314
0xefae40f469ca7f29143ac59f39ad6308ddce2d8a3348a7cb8e168d6bd97dc466,128,19000039,46494,17669529034,17619529034,2324700000000,4.717731845846201,-1.870173890564745,0.7221301518848864,-1.876043418726709,0.7271517099691611,4.717773460580643
0xa146200096b9605a7b0c3227f8ea76be40a9fb59784fbff047dca8466ad3b495,64,19000039,94660,17719529034,17619529034,9466000000000,4.7392974443312355,-1.870173890564745,0.7221301518848864,-1.8685110130418394,0.7210872204916776,4.738635203228796
0x84bf2361966a567f2c937e0efa536ddf4dc70ae04ff0800234a7b9207bd1a585,15,19000039,167426,22619529034,17619529034,837130000000000,4.770595505986238,-1.870173890564745,0.7221301518848864,-1.907688928682539,0.7507673187214593,4.775796271093355
0xfc6ad84ae85ed9ed36044442d18b7ee970703b2ae6b143101ea74082692b874e,7,19000039,63209,26282320364,17619529034,547566377177970,4.970079858022265,-1.870173890564745,0.7221301518848864,-1.884920309092165,0.7350183061893614,4.972861358126451
0xe78ec5b7c3cc07b69e6f2df79fe7625e3defbb45dd40a8e339f1939bd672fabc,120,19000039,21000,17719529034,17619529034,2100000000000,5.051730299964566,-1.870173890564745,0.7221301518848864,-1.8885916942495173,0.7368828445161077,5.054730320560226
0x59b13f0ec7a2fcb6fecddc36a8346649c53a6d4d5de7d4730f5e9cb6ab2fff7e,122,19000039,21000,17709529034,17619529034,1890000000000,5.062200776980591,-1.870173890564745,0.7221301518848864,-1.9042791224367561,0.7420935225850527,5.06688519513961
0x8452c97c472ad12e9bf816d7af32ad573f24870fe4536dccd0483163c06623fc,6,19000039,51438,27619529034,17619529034,514380000000000,5.073457231186547,-1.870173890564745,0.7221301518848864,-1.9000841868490839,0.7466439094200967,5.077492672173608
0x738229ef05180bdf0589aa81a01822075ffb09a3de5537eaadbf3f7e2bef30fd,68,19000039,46371,17719529034,17619529034,4637100000000,5.114261646465225,-1.870173890564745,0.7221301518848864,-1.8877350652249127,0.7423458154328941,5.117279983168126
0x583461d1ba66f44acd5de286c14ffc6bb8e4bb5b86ec02c494f7dbe601f38918,30,19000039,37449,19619529034,17619529034,74898000000000,5.295505503834869,-1.870173890564745,0.7221301518848864,-1.9038741269648152,0.7460584351007018,5.30065880538277
0x4bd7b5c42785bc8065e8ab8ecea75eb7fef43a4c8bf3e417e177e32cccc764dc,25,19000039,48561,20119529034,17619529034,121402500000000,5.361145003349178,-1.870173890564745,0.7221301518848864,-1.891360629574633,0.7395380352383659,5.364696874990883
0xa9a720cfd53f681a954c27b47a1dc4dc1e31b90468aa13856f2992f64aa0fcad,36,19000039,66422,19119529034,17619529034,99633000000000,5.430333138514857,-1.870173890564745,0.7221301518848864,-1.905732525754254,0.7498119391947576,5.435113084795923
0x66cf380968b0aec03873577cb1262ebfac89b104e27a7c4b327ab58f8d5eede9,82,19000039,21000,19619529034,17619529034,42000000000000,5.441777993059025,-1.870173890564745,0.7221301518848864,-1.8829642342957602,0.7368739991513833,5.444441198850364
0x4332a7d1697db6fd599765d70a702e91d84a9542f004ce0c082bc9d968f8fb72,106,19000039,21000,18071777536,17619529034,9497218542000,5.668284194156422,-1.870173890564745,0.7221301518848864,-1.884935012008349,0.7415850495969544,5.671786321165612
0x9d1107f97bfbe3fa70985e989de63161f5f9c0159841d6924430780128d0460f,141,19000039,21000,17629529034,17619529034,210000000000,5.891370021890195,-1.870173890564745,0.7221301518848864,-1.8764103336639388,0.7290525718288313,5.892715287109877
0x18e2ae9573e7513256741bf1ea602f49526eeeb6638620a55e8ae8e9fa98fcfd,65,19000039,120551,17719529034,17619529034,12055100000000,6.025208231678537,-1.870173890564745,0.7221301518848864,-1.8755399701080266,0.7319742385781988,6.02607621942357
0x7748227660e5e53a38fada8d50ee929507153552d3ffcd3f420f48ac4f61089d,150,19000039,46109,25000000000,17619529034,340306135771294,6.066186400106375,-1.870173890564745,0.7221301518848864,-1.8909160118405224,0.7382323420245092,6.069948548926932
0xc5ec7362f9f9dc2b06fca798f8f82949e4ef81cf147b1d4c4792212aa1852c80,41,19000039,143187,18619529034,17619529034,143187000000000,6.1243347891766575,-1.870173890564745,0.7221301518848864,-1.8889290261894627,0.7383999189870895,6.127841920761527
0x23fea7e8aa5652b17b0f1183aeb364b5c2b199addaf016a9c3ba207d81cc53bb,157,19000039,21000,20110552400,17619529034,52311490686000,6.1531029212297765,-1.870173890564745,0.7221301518848864,-1.9019847469822717,0.7432585317633239,6.156951859549791
0x8d2b6d26a3674ec2231e33862a3cf11085c0ba0cc1e581b39a4515beb8da3b1f,171,19000039,51438,27619529034,17619529034,514380000000000,6.155815819575379,-1.870173890564745,0.7221301518848864,-1.8626785203294838,0.717896048448324,6.15505756373183
0xc7cedb2d8393d370ee2fb349eb92901668b2fd1c43427abf0c4709ee0ffb7828,74,19000039,22200,17719529034,17619529034,2220000000000,6.266685744317146,-1.870173890564745,0.7221301518848864,-1.896347988859381,0.738781061052008,6.271270990873564
0xb5041ab89354618be03b7d258884a29a5f55ac2fb2eefeff01eb0c27fe910a0e,52,19000039,55582,17919529034,17619529034,16674600000000,6.377732422234443,-1.870173890564745,0.7221301518848864,-1.886710335542233,0.7365197962548341,6.381255688264017
0xfe4b2ca852e9145db803b1de77dbf9b8fbb45130ba27901a684254e7b619d338,60,19000039,191826,17719529034,17619529034,19182600000000,6.495179008911571,-1.870173890564745,0.7221301518848864,-1.895670981891922,0.7404994173534626,6.4987574876272785
0x0e4949da184ede21d57314d9ae02fe00691564786fca8a7c9b1ce8a66be08eb8,88,19000039,21000,19619529034,17619529034,42000000000000,6.586751734612728,-1.870173890564745,0.7221301518848864,-1.8977748796784977,0.7327468755495644,6.590085859038158
0xd565feac4da0e54d46639906d7c53ca5395aae16b3feff41851cfb2aa0455c6c,159,19000039,34656,19000000000,17619529034,47841601797696,6.630877915859428,-1.870173890564745,0.7221301518848864,-1.8846931833830385,0.7357303961705942,6.63265043880185
0xdb6518d6db359a03f87de3fada4dd9ae926e386ae4331afcf16dd39fabe3b60c,61,19000039,213977,17719529034,17619529034,21397700000000,6.636369820311131,-1.870173890564745,0.7221301518848864,-1.9010754004602253,0.7371793234177778,6.6398490060828195
0x205c0cd6fa118b7250a963d5a8d9420df3784912b342179274ab8d5ba080d74c,62,19000039,147028,17719529034,17619529034,14702800000000,6.820766324491637,-1.870173890564745,0.7221301518848864,-1.8960655907953252,0.7385336070231998,6.825416423192988
0x319659a560d7d0e05c7250b94e49e81e9642fce3d08eff0cd2f7e0938898c122,85,19000039,21000,19619529034,17619529034,42000000000000,6.846328569837718,-1.870173890564745,0.7221301518848864,-1.8969125176498232,0.7414644598638762,6.85065439206694
0x9473704503abe9829e0e91fda8c1d7c87d28b7f9cb9665b09048146902c48da4,10,19000039,63209,25000000000,17619529034,466512189289894,6.949015166198361,-1.870173890564745,0.7221301518848864,-1.8901533422188217,0.739821856415382,6.9526399327815
0x23ada8f5b27f825b6374d9a78a9f0741af6cca47425aaf0d43bf1b37172397b7,89,19000039,21000,19619529034,17619529034,42000000000000,7.053966450995478,-1.870173890564745,0.7221301518848864,-1.8831170378843891,0.7354425332090194,7.055182052968651
0x4ffeb8c68fc89c1f42bf7076d22b7ff8ad8de13e737211d9d6196ce051797787,140,19000039,63197,17629529034,17619529034,631970000000,7.0542311345409745,-1.870173890564745,0.7221301518848864,-1.902435755877425,0.7405673339847566,7.058369057787657
0xef24acc8bd9bbdfb81fe44a02bbe0e4a5d23fea714dc1f4f0b1c6d8692558a50,29,19000039,55963,19619529034,17619529034,111926000000000,7.140951338582172,-1.870173890564745,0.7221301518848864,-1.8857793702898054,0.7314596474051396,7.142885896463973
0x657d860914f69c01ae8e7bf4ea3868a9d3472eef14efe62d62d6f8c39ea4f275,124,19000039,21000,17699529034,17619529034,1680000000000,7.166572508465082,-1.870173890564745,0.7221301518848864,-1.8813955594590617,0.7402921648733017,7.168592495846085
0xab4ffacca9e6937d9afb45e8d5239c8f76a50fbc48819fcfe81c9877514ed0e4,35,19000039,104613,19119529034,17619529034,156919500000000,7.17119247617876,-1.870173890564745,0.7221301518848864,-1.8889853880855383,0.7355937005774005,7.1745780584315355
0x3d8a24578caf53aecf27291460f3b64ae495dc0becf537e6e77709c78a276301,169,19000039,21000,27619529034,17619529034,210000000000000,7.207673361208458,-1.870173890564745,0.7221301518848864,-1.9004215403315945,0.7471664320622238,7.213344884319389
0x32ab39056bfa9c5fdc51797f57dabf3c065fb9aad3cbc54b0b51a02b657b30d6,70,19000039,22744,17719529034,17619529034,2274400000000,7.241280209655283,-1.870173890564745,0.7221301518848864,-1.8965768833699277,0.7382269376611291,7.244154798087665
0x9f562264ccf4cc0d901de8ed668ab53fabec1c29c33622c6b2a4c3be64d18b78,130,19000039,61986,17669529034,17619529034,3099300000000,7.398065484599808,-1.870173890564745,0.7221301518848864,-1.8980299546148187,0.7383743344166,7.401123602924844
